id;orden;carro;lado;fecha_hora;usuario;sector;estado
116;65372-2;11;B;2026-04-07 15:41:02.420916;Leandra;Templado;
115;65372-1;0;-;2026-04-07 15:40:47.110212;Leandra;Terminado;
114;65372-1;11;B;2026-04-07 15:40:46.931341;Leandra;Templado;
113;65079;0;-;2026-04-07 15:40:42.469680;Daniel;Entrega;
112;65736;0;-;2026-04-07 15:40:21.098112;Daniel;Entrega;
111;61280-1;0;-;2026-04-07 15:38:50.981823;Leandra;Terminado;
110;61280-1;12;A;2026-04-07 15:38:50.802987;Leandra;Templado;
109;65325-1;0;-;2026-04-07 15:38:23.782645;Leandra;Terminado;
108;65325-1;12;A;2026-04-07 15:38:23.610110;Leandra;Templado;
107;65325-2;0;-;2026-04-07 15:38:03.634650;Leandra;Terminado;
106;65325-2;12;A;2026-04-07 15:38:03.473353;Leandra;Templado;
105;65215-1;0;-;2026-04-07 15:37:43.789637;Leandra;Terminado;
104;65215-1;12;A;2026-04-07 15:37:43.591417;Leandra;Templado;
103;65215-3;0;-;2026-04-07 15:37:21.373695;Leandra;Terminado;
102;65215-3;12;A;2026-04-07 15:37:21.211501;Leandra;Templado;
101;65430-2;0;-;2026-04-07 15:36:27.607012;Leandra;Terminado;
100;65430-2;13;B;2026-04-07 15:36:27.440559;Leandra;Templado;
99;65214-1;0;-;2026-04-07 15:35:40.384797;Leandra;Terminado;
98;65214-1;14;B;2026-04-07 15:35:40.207262;Leandra;Templado;
97;65242-1;0;-;2026-04-07 15:35:11.985789;Leandra;Terminado;
96;65242-1;14;B;2026-04-07 15:35:11.808141;Leandra;Templado;
95;65240-1;0;-;2026-04-07 15:34:51.341578;Leandra;Terminado;
94;65240-1;14;B;2026-04-07 15:34:51.131237;Leandra;Templado;
93;65241-1;0;-;2026-04-07 15:34:12.097407;Leandra;Terminado;
92;65241-1;14;B;2026-04-07 15:34:11.890532;Leandra;Templado;
91;65239-1;0;-;2026-04-07 15:33:54.402448;Leandra;Terminado;
90;65239-1;14;B;2026-04-07 15:33:54.239761;Leandra;Templado;
89;65122-2;0;-;2026-04-07 15:33:23.741543;Leandra;Terminado;
88;65122-2;14;A;2026-04-07 15:33:23.530645;Leandra;Templado;
87;65197-1;0;-;2026-04-07 15:32:27.916289;Leandra;Terminado;
86;65197-1;14;A;2026-04-07 15:32:27.722011;Leandra;Templado;
85;65195-1;0;-;2026-04-07 15:32:10.190482;Leandra;Terminado;
84;65195-1;14;A;2026-04-07 15:32:10.011669;Leandra;Templado;
83;65192-2;0;-;2026-04-07 15:31:02.256829;Leandra;Terminado;
82;65192-2;14;A;2026-04-07 15:31:02.078448;Leandra;Templado;
81;65192-1;0;-;2026-04-07 15:30:42.983051;Leandra;Terminado;
80;65192-1;14;A;2026-04-07 15:30:42.789574;Leandra;Templado;
79;65244-1;0;-;2026-04-07 15:29:34.028398;Leandra;Terminado;
78;65244-1;14;A;2026-04-07 15:29:33.866133;Leandra;Templado;
77;65122-1;0;-;2026-04-07 15:28:46.035935;Leandra;Terminado;
76;65122-1;14;A;2026-04-07 15:28:45.874067;Leandra;Templado;
75;65122-1;14;A;2026-04-07 15:27:16.137255;Leandra;Templado;
74;65170-1;0;-;2026-04-07 15:24:48.312016;Leandra;Terminado;
73;65170-1;14;B;2026-04-07 15:24:48.142858;Leandra;Templado;
72;65105-1;0;-;2026-04-07 15:23:17.826428;Leandra;Terminado;
71;65105-1;0;-;2026-04-07 15:21:41.021074;Leandra;Terminado;
70;64568-1;0;-;2026-04-07 15:20:50.470005;Leandra;Terminado;
69;64568;0;-;2026-04-07 15:20:37.415247;Leandra;Terminado;
68;645681;0;-;2026-04-07 15:20:24.783931;Leandra;Terminado;
67;64568-1;0;-;2026-04-07 15:19:55.985902;Leandra;Terminado;
66;59979-5;0;-;2026-04-07 15:15:00.046310;Leandra;Terminado;
65;64568-1;16;A;2026-04-07 15:14:34.898372;Leandra;Corte;
64;58630-1;0;-;2026-04-07 15:12:58.318946;Leandra;Terminado;
63;58630-1;16;A;2026-04-07 15:12:58.158204;Leandra;Corte;
62;58630-1;0;-;2026-04-07 15:11:11.231360;Leandra;Terminado;
61;65607-1;0;-;2026-04-07 15:10:41.161496;Leandra;Terminado;
60;65607-1;16;A;2026-04-07 15:08:08.636495;Leandra;Corte;
59;65355-1;0;-;2026-04-07 15:05:03.399751;Daniel;Terminado;
58;65048-1;0;-;2026-04-07 15:00:43.174587;Leandra;Terminado;
57;65355-5;0;-;2026-04-07 15:00:03.384717;Leandra;Terminado;
56;65355-4;0;-;2026-04-07 14:59:50.648448;Leandra;Terminado;
55;65355-3;0;-;2026-04-07 14:59:31.207214;Leandra;Terminado;
54;65355-2;0;-;2026-04-07 14:59:12.656546;Leandra;Terminado;
53;65355-2;0;-;2026-04-07 14:58:32.803730;Leandra;Terminado;
52;65355-1;42;A;2026-04-07 14:58:11.275958;Leandra;Templado;
51;64847-7;42;B;2026-04-07 14:56:54.329567;Leandra;Canteado;
